eta_c,MR,R8,R52,Ohsumed,20NG
1,90.97,98.86,95.76,87.86,94.99
1.5,91.00,98.72,96.03,87.88,95.07
2,91.00,98.86,96.22,89.17,94.93
2.5,91.28,98.77,96.46,89.44,94.90
3,91.11,98.81,96.61,89.14,94.92
3.5,90.74,98.86,96.85,89.36,94.92
4,90.04,98.77,96.96,89.34,94.58
4.5,91.31,98.90,96.81,90.06,94.74
5,91.22,98.77,97.04,89.56,94.73
5.5,92.04,98.81,97.04,90.13,94.82
6,91.87,98.63,96.92,90.43,94.95
6.5,92.32,98.68,96.96,89.98,94.77
7,92.26,98.68,97.08,90.35,94.84
7.5,92.60,98.72,97.08,90.03,94.52
8,92.57,98.63,97.12,90.16,94.53
8.5,92.26,98.77,96.92,90.25,94.73
9,92.52,98.68,97.24,90.21,94.70
9.5,92.09,98.68,97.24,89.59,94.80
