eta_w,MR,R8,R52,Ohsumed,20NG
1,90.94,98.86,95.60,87.71,94.92
1.5,90.77,98.81,94.94,87.68,94.94
2,91.00,98.72,94.82,86.94,94.82
2.5,90.52,98.58,94.28,86.84,94.54
3,90.43,98.54,93.89,87.11,94.76
3.5,90.74,98.31,93.69,86.08,94.64
4,90.77,98.22,93.03,86.05,94.69
4.5,90.72,98.22,92.95,86.67,94.61
5,90.72,98.04,92.84,85.73,94.61
5.5,90.69,98.13,92.33,86.15,94.58
6,90.69,98.08,92.25,85.90,94.30
6.5,90.86,97.94,92.02,85.75,94.50
7,90.60,97.94,91.86,85.90,94.40
7.5,90.43,97.90,91.86,85.93,94.33
8,90.49,97.85,91.78,85.11,94.46
8.5,89.84,97.81,91.47,85.58,94.49
9,90.55,97.81,91.71,85.51,94.32
9.5,90.29,97.58,90.93,85.80,94.37
